	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-735.582	-81.8367	2.56686	4.3508	8.65655	-0.0269006	-0.515581	-1.90215
140	Surface 27	27833	9.665	-7.74887	-1.84	-647.614	-54.4738	-3.13133	4.93385	5.89777	-0.653027	2.13888	-3.10899
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-647.305	-54.537	2.74842	5.32402	5.917	-0.0282941	-0.44958	-3.11501
142	Surface 27	28053	9.665	-7.74887	-0.92	-555.459	-27.2284	-2.84243	5.90454	2.7692	-0.597316	1.90175	-2.84662
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-555.291	-27.2485	2.36112	6.31406	2.77065	-0.0207182	-0.355093	-2.83711
144	Surface 27	28272	9.665	-7.74887	0.0	-464.128	-4.54995	-2.27264	6.88124	1.37542	-0.534427	3.48246	-2.36052
145	Surface 27	28280	9.665	0.0	0.0	-463.943	-4.54736	1.79724	7.29802	1.37239	-0.0156925	-0.226157	-2.33681
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.33653E3	-318.875	3.75186	-19.3181	-58.0846	4.70677E-3	-1.02307	29.6566
147	Surface 30	25882	9.665	6.11244	-9.9	-1.33684E3	-318.543	-1.58248	-19.4226	-58.1105	0.377723	-1.85127	29.5901
148	Surface 30	25889	9.665	12.2246	-9.9	-1.33741E3	-318.103	-3.2232	-19.8563	-58.2223	0.75472	-4.10144	29.6425
149	Surface 30	25897	9.665	18.3371	-9.9	-1.3383E3	-317.024	3.20922	-20.4682	-58.357	1.15779	-8.01901	29.4823
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-1.21657E3	-282.021	2.90928	-12.9379	-35.7133	-9.69061E-3	-0.919892	22.9055
151	Surface 30	26168	9.665	6.11242	-8.84	-1.217E3	-281.717	-1.45639	-13.0486	-35.7406	0.368249	-1.73374	22.8494
152	Surface 30	26171	9.665	12.2246	-8.84	-1.21755E3	-281.318	-2.97763	-13.524	-35.8516	0.742874	-3.83551	22.8805
153	Surface 30	26177	9.665	18.3371	-8.84	-1.21862E3	-280.366	1.69277	-14.1821	-35.991	1.12346	-7.44682	22.7361
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-1.12586E3	-245.487	2.33852	-7.52356	-16.3347	-0.0215386	-0.839713	14.4109
155	Surface 30	26387	9.665	6.11241	-7.78	-1.12642E3	-245.223	-1.34071	-7.64115	-16.3632	0.361957	-1.65527	14.363
156	Surface 30	26392	9.665	12.2246	-7.78	-1.12695E3	-244.864	-2.74655	-8.15781	-16.476	0.736026	-3.65528	14.3776
157	Surface 30	26396	9.665	18.3371	-7.78	-1.1282E3	-244.061	0.781876	-8.86312	-16.6222	1.10141	-7.04338	14.2458
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-1.04725E3	-209.48	2.1187	-3.79558	-4.65847	-0.0281227	-0.771363	8.37388
159	Surface 30	26608	9.665	6.11241	-6.72	-1.04788E3	-209.258	-1.20975	-3.92116	-4.68781	0.358101	-1.59339	8.33002
160	Surface 30	26612	9.665	12.2246	-6.72	-1.04843E3	-208.946	-2.48074	-4.4799	-4.8049	0.732566	-3.51117	8.33903
161	Surface 30	26618	9.665	18.3371	-6.72	-1.0498E3	-208.286	0.725403	-5.23452	-4.95879	1.0934	-6.7122	8.21583
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-971.038	-173.883	2.09753	-1.0202	2.38776	-0.0309519	-0.705995	5.67919
163	Surface 30	26827	9.665	6.11242	-5.66	-971.702	-173.7	-1.0507	-1.15422	2.35882	0.356387	-1.53324	5.63787
164	Surface 30	26832	9.665	12.2246	-5.66	-972.279	-173.431	-2.15981	-1.75444	2.23876	0.732088	-3.37132	5.65008
165	Surface 30	26838	9.665	18.3371	-5.66	-973.723	-172.896	1.19148	-2.55827	2.08109	1.09521	-6.39133	5.53685
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-892.082	-139.45	2.19673	1.3347	7.1366	-0.0308141	-0.639616	4.21943
167	Surface 30	27118	9.665	6.11244	-4.6	-892.751	-139.291	-0.865286	1.19246	7.1101	0.358617	-1.46504	4.1803
168	Surface 30	27124	9.665	12.2246	-4.6	-893.357	-139.054	-1.78833	0.552609	6.99128	0.73806	-3.21524	4.20156
169	Surface 30	27135	9.665	18.3371	-4.6	-894.842	-138.609	2.00119	-0.298187	6.83819	1.1097	-6.04391	4.10153
170	Surface 31	25897	9.665	18.3371	-9.9	-1.3383E3	-317.024	3.20922	-20.4682	-58.357	1.15779	-8.01901	29.4823
171	Surface 31	25909	9.665	20.819	-9.9	-1.33912E3	-316.377	-5.13735	-20.9948	-58.4677	1.21731	-6.0978	29.4525
