	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
160	Surface 30	26612	9.665	12.2246	-6.72	-1.04854E3	-209.007	-2.38375	-4.71044	-4.84901	0.666078	-3.47937	8.33169
161	Surface 30	26618	9.665	18.3371	-6.72	-1.04989E3	-208.325	0.816392	-5.43253	-5.00005	1.02299	-6.67322	8.21218
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-971.184	-173.98	2.20413	-1.31796	2.33921	-0.0868518	-0.691589	5.66585
163	Surface 30	26827	9.665	6.11242	-5.66	-971.831	-173.773	-0.959359	-1.42583	2.31021	0.292325	-1.50672	5.62955
164	Surface 30	26832	9.665	12.2246	-5.66	-972.389	-173.483	-2.07994	-1.9909	2.19323	0.662661	-3.33556	5.6458
165	Surface 30	26838	9.665	18.3371	-5.66	-973.814	-172.929	1.26419	-2.75963	2.03989	1.02278	-6.34896	5.53575
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-892.236	-139.53	2.28896	1.02562	7.08516	-0.0908246	-0.619829	4.21076
167	Surface 30	27118	9.665	6.11244	-4.6	-892.883	-139.351	-0.790911	0.913564	7.06087	0.291585	-1.4342	4.17625
168	Surface 30	27124	9.665	12.2246	-4.6	-893.467	-139.096	-1.72673	0.311944	6.9468	0.666574	-3.17608	4.20097
169	Surface 30	27135	9.665	18.3371	-4.6	-894.93	-138.636	2.05506	-0.501509	6.79912	1.03585	-5.99881	4.10329
170	Surface 31	25897	9.665	18.3371	-9.9	-1.3384E3	-317.072	3.34106	-20.6463	-58.3905	1.09754	-7.99129	29.4726
171	Surface 31	25909	9.665	20.819	-9.9	-1.33922E3	-316.416	-5.00566	-21.1544	-58.4995	1.15418	-6.06529	29.4434
172	Surface 31	26177	9.665	18.3371	-8.84	-1.21872E3	-280.413	1.8152	-14.3685	-36.0279	1.05941	-7.41542	22.7282
