	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.05512E3	-309.836	1.19886	-20.9944	-48.9722	0.283836	-1.47242	25.0437
147	Surface 30	25882	9.665	6.11244	-9.9	-1.05557E3	-309.282	-2.32429	-21.6902	-49.1134	0.288816	-1.83749	24.9856
148	Surface 30	25889	9.665	12.2246	-9.9	-1.05609E3	-308.919	-2.36617	-22.2956	-49.2479	0.311971	-3.31262	25.0482
149	Surface 30	25897	9.665	18.3371	-9.9	-1.05676E3	-308.329	5.09212	-22.8135	-49.3477	0.3997	-6.13082	24.9414
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-937.803	-274.864	0.715184	-15.7671	-29.975	0.275387	-1.38577	19.1313
151	Surface 30	26168	9.665	6.11242	-8.84	-938.36	-274.391	-2.12605	-16.4792	-30.1156	0.286394	-1.71734	19.0787
152	Surface 30	26171	9.665	12.2246	-8.84	-938.866	-274.065	-2.17377	-17.1118	-30.2462	0.309229	-3.02941	19.1223
153	Surface 30	26177	9.665	18.3371	-8.84	-939.674	-273.538	3.76829	-17.6509	-30.3473	0.380071	-5.53342	19.0257
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-843.973	-239.916	0.471782	-11.3405	-13.519	0.272581	-1.31965	11.9712
155	Surface 30	26387	9.665	6.11241	-7.78	-844.642	-239.537	-1.92446	-12.0698	-13.6593	0.288745	-1.63021	11.923
156	Surface 30	26392	9.665	12.2246	-7.78	-845.139	-239.248	-1.97716	-12.7294	-13.7891	0.311505	-2.8164	11.9523
157	Surface 30	26396	9.665	18.3371	-7.78	-846.084	-238.796	2.98416	-13.291	-13.8938	0.370637	-5.07267	11.8638
