	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
144	Surface 27	28272	9.665	-7.74887	0.0	-117.978	-3.30865	-3.36459	2.67941	1.0151	-0.602919	2.71597	-1.54534
145	Surface 27	28280	9.665	0.0	0.0	-122.261	-3.5733	1.13413	3.00975	1.05708	-0.120096	0.457982	-1.65639
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.05569E3	-321.085	4.61782	-21.0097	-49.2872	0.130657	-1.07411	25.0562
147	Surface 30	25882	9.665	6.11244	-9.9	-1.05619E3	-317.04	0.54507	-21.1793	-49.4501	0.171997	-1.34875	25.0107
148	Surface 30	25889	9.665	12.2246	-9.9	-1.0565E3	-313.916	-0.186551	-21.2224	-49.5641	0.263558	-2.7713	25.1036
149	Surface 30	25897	9.665	18.3371	-9.9	-1.05687E3	-311.298	6.64577	-21.2458	-49.6087	0.447757	-5.57606	25.0305
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-938.67	-285.537	4.46389	-15.7609	-30.3092	0.0411724	-0.971514	19.1306
151	Surface 30	26168	9.665	6.11242	-8.84	-939.233	-281.44	0.810194	-15.8924	-30.4867	0.107587	-1.1914	19.1151
152	Surface 30	26171	9.665	12.2246	-8.84	-939.425	-278.338	-0.109155	-15.9109	-30.5956	0.229466	-2.44797	19.2071
153	Surface 30	26177	9.665	18.3371	-8.84	-939.835	-275.843	5.11093	-15.9189	-30.6307	0.42762	-4.945	19.152
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-845.221	-249.615	4.2506	-11.2957	-13.9042	-0.0778747	-0.859414	11.9697
155	Surface 30	26387	9.665	6.11241	-7.78	-845.765	-245.548	0.736285	-11.3649	-14.0857	0.0320744	-1.04345	11.9935
156	Surface 30	26392	9.665	12.2246	-7.78	-845.791	-242.564	-0.34713	-11.3496	-14.1788	0.200786	-2.18174	12.0911
157	Surface 30	26396	9.665	18.3371	-7.78	-846.223	-240.291	3.84572	-11.3435	-14.1943	0.428204	-4.44619	12.0484
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-760.814	-213.65	4.18322	-8.20354	-4.08679	-0.20909	-0.71349	6.79741
159	Surface 30	26608	9.665	6.11241	-6.72	-761.191	-209.788	0.488571	-8.18779	-4.24414	-0.0366955	-0.883627	6.85925
160	Surface 30	26612	9.665	12.2246	-6.72	-761.026	-207.073	-0.713431	-8.13894	-4.30227	0.191122	-1.93629	6.96405
161	Surface 30	26618	9.665	18.3371	-6.72	-761.406	-205.12	3.19045	-8.12921	-4.28703	0.459391	-4.00671	6.9186
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-677.111	-177.545	4.00554	-5.86545	1.5588	-0.329911	-0.519717	4.24874
163	Surface 30	26827	9.665	6.11242	-5.66	-677.16	-174.125	0.020058	-5.75461	1.46392	-0.0777387	-0.70928	4.33409
164	Surface 30	26832	9.665	12.2246	-5.66	-676.78	-171.833	-1.19695	-5.68673	1.46002	0.213319	-1.69991	4.43375
165	Surface 30	26838	9.665	18.3371	-5.66	-677.078	-170.272	2.87801	-5.69314	1.51225	0.522878	-3.58924	4.36839
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-589.694	-142.134	3.58209	-3.80368	4.99535	-0.404043	-0.291493	2.91731
167	Surface 30	27118	9.665	6.11244	-4.6	-589.278	-139.371	-0.631957	-3.61517	4.9921	-0.0699668	-0.540685	2.99027
168	Surface 30	27124	9.665	12.2246	-4.6	-588.721	-137.602	-1.71944	-3.5605	5.04628	0.273878	-1.48028	3.06141
169	Surface 30	27135	9.665	18.3371	-4.6	-588.969	-136.44	2.8224	-3.61054	5.12808	0.614199	-3.18189	2.96036
170	Surface 31	25897	9.665	18.3371	-9.9	-1.05687E3	-311.298	6.64577	-21.2458	-49.6087	0.447757	-5.57606	25.0305
171	Surface 31	25909	9.665	20.819	-9.9	-1.05728E3	-310.326	-0.931931	-21.2681	-49.6187	0.41857	-3.92794	25.0081
172	Surface 31	26177	9.665	18.3371	-8.84	-939.835	-275.843	5.11093	-15.9189	-30.6307	0.42762	-4.945	19.152
