	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
147	Surface 30	25882	9.665	6.11244	-9.9	-954.375	-22.0241	0.0603018	-20.9517	-45.713	0.0241805	-1.08939	23.3678
148	Surface 30	25889	9.665	12.2246	-9.9	-954.612	-22.1268	0.0874064	-20.8408	-45.6965	0.0261141	-2.492	23.4417
149	Surface 30	25897	9.665	18.3371	-9.9	-955.027	-22.0493	7.83282	-20.7491	-45.667	0.112467	-5.19537	23.3519
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-836.203	-13.6657	2.89896	-15.9784	-27.9274	0.0429815	-0.677847	17.9027
151	Surface 30	26168	9.665	6.11242	-8.84	-836.439	-13.5588	0.0446972	-15.9368	-27.9162	0.0221804	-0.950447	17.8577
152	Surface 30	26171	9.665	12.2246	-8.84	-836.648	-13.6164	0.060831	-15.8372	-27.8979	0.0249293	-2.18019	17.9151
153	Surface 30	26177	9.665	18.3371	-8.84	-837.173	-13.5166	6.40789	-15.7528	-27.8719	0.0964838	-4.55225	17.8349
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-740.808	-10.1676	2.49076	-11.6975	-12.4636	0.0376608	-0.594731	11.2627
155	Surface 30	26387	9.665	6.11241	-7.78	-741.13	-10.0683	0.030049	-11.6579	-12.4536	0.0219583	-0.841139	11.2225
156	Surface 30	26392	9.665	12.2246	-7.78	-741.314	-10.0717	0.0375093	-11.5694	-12.4365	0.0255535	-1.9323	11.2677
157	Surface 30	26396	9.665	18.3371	-7.78	-741.942	-9.95065	5.49158	-11.4933	-12.4163	0.0870778	-4.03428	11.1946
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-653.436	-6.97922	2.3684	-8.73513	-3.12103	0.0364462	-0.520355	6.35668
159	Surface 30	26608	9.665	6.11241	-6.72	-653.796	-6.88956	0.0233892	-8.69833	-3.1128	0.0218925	-0.743393	6.31814
160	Surface 30	26612	9.665	12.2246	-6.72	-653.974	-6.84879	0.028307	-8.62167	-3.09913	0.0255717	-1.70884	6.35937
161	Surface 30	26618	9.665	18.3371	-6.72	-654.641	-6.71175	5.23602	-8.55531	-3.08575	0.0842999	-3.56467	6.28908
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-566.304	-4.01373	2.40667	-6.57384	2.21678	0.0377114	-0.447357	3.70961
163	Surface 30	26827	9.665	6.11242	-5.66	-566.666	-3.93126	0.0299409	-6.54026	2.22361	0.0211445	-0.645696	3.67137
164	Surface 30	26832	9.665	12.2246	-5.66	-566.835	-3.84818	0.0410263	-6.47482	2.23339	0.0238892	-1.48536	3.7145
165	Surface 30	26838	9.665	18.3371	-5.66	-567.494	-3.69164	5.36002	-6.41824	2.24117	0.0838179	-3.09556	3.64605
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-475.291	-0.822607	2.52849	-4.81856	5.2881	0.0405425	-0.37232	2.15943
167	Surface 30	27118	9.665	6.11244	-4.6	-475.627	-0.737734	0.0483439	-4.78802	5.2944	0.0200059	-0.541136	2.1212
168	Surface 30	27124	9.665	12.2246	-4.6	-475.783	-0.609695	0.0729188	-4.73211	5.30117	0.0212404	-1.24765	2.16941
