	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
156	Surface 30	26392	9.665	12.2246	-7.78	-839.132	-248.246	-4.2782	2.06854	-10.708	0.943314	-3.41301	12.4967
157	Surface 30	26396	9.665	18.3371	-7.78	-840.326	-246.966	-1.20455	0.838628	-10.982	1.47317	-6.19354	12.3346
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-752.704	-212.41	2.78179	6.88467	-0.512123	-0.214574	-0.467243	7.30686
159	Surface 30	26608	9.665	6.11241	-6.72	-753.212	-212.102	-1.70708	6.69051	-0.575842	0.36407	-1.49851	7.26723
160	Surface 30	26612	9.665	12.2246	-6.72	-753.856	-211.527	-3.83966	5.71649	-0.791015	0.927229	-3.25955	7.28013
161	Surface 30	26618	9.665	18.3371	-6.72	-755.154	-210.5	-0.862711	4.42254	-1.0664	1.45746	-5.84363	7.12783
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-667.936	-176.006	2.76815	9.74178	5.20098	-0.232391	-0.37805	4.61643
163	Surface 30	26827	9.665	6.11242	-5.66	-668.452	-175.753	-1.46619	9.54776	5.14494	0.35169	-1.42355	4.58047
164	Surface 30	26832	9.665	12.2246	-5.66	-669.128	-175.287	-3.33457	8.52498	4.93355	0.920512	-3.10399	4.59846
165	Surface 30	26838	9.665	18.3371	-5.66	-670.493	-174.484	-0.0491722	7.16726	4.66214	1.45819	-5.49255	4.45897
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-579.529	-140.822	2.8326	12.1899	8.59173	-0.243763	-0.286444	3.02394
167	Surface 30	27118	9.665	6.11244	-4.6	-580.025	-140.611	-1.19776	11.9964	8.54605	0.34921	-1.33857	2.99128
168	Surface 30	27124	9.665	12.2246	-4.6	-580.737	-140.232	-2.76682	10.9266	8.34414	0.928045	-2.9284	3.02012
169	Surface 30	27135	9.665	18.3371	-4.6	-582.142	-139.604	1.05976	9.50725	8.08738	1.48004	-5.10813	2.89917
170	Surface 31	25897	9.665	18.3371	-9.9	-1.0516E3	-320.818	0.114546	-9.97177	-46.4851	1.55774	-7.13398	25.3751
171	Surface 31	25909	9.665	20.819	-9.9	-1.05244E3	-319.862	-8.43391	-10.8944	-46.6944	1.69447	-5.80751	25.3538
172	Surface 31	26177	9.665	18.3371	-8.84	-934.287	-283.98	-0.795636	-4.16418	-27.4567	1.50788	-6.59632	19.4793
173	Surface 31	26182	9.665	20.819	-8.84	-935.291	-283.177	-7.78285	-5.13775	-27.6712	1.66078	-5.47241	19.4587
