	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
145	Surface 27	28280	9.665	0.0	0.0	-136.104	-4.17438	1.86978	-1.36739	0.975445	0.0418148	-0.224551	-1.80216
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.05564E3	-308.767	3.40179	-22.274	-49.2705	0.0480753	-0.814144	25.0194
147	Surface 30	25882	9.665	6.11244	-9.9	-1.0558E3	-308.649	0.0695645	-22.2241	-49.2568	0.0232387	-1.13286	24.97
148	Surface 30	25889	9.665	12.2246	-9.9	-1.05604E3	-308.762	0.100667	-22.099	-49.2379	0.0259146	-2.5983	25.0419
149	Surface 30	25897	9.665	18.3371	-9.9	-1.05649E3	-308.678	7.54861	-21.994	-49.205	0.109304	-5.42725	24.9555
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-938.323	-273.974	2.71841	-17.0916	-30.2669	0.0390776	-0.717291	19.1048
151	Surface 30	26168	9.665	6.11242	-8.84	-938.588	-273.858	0.0518336	-17.0427	-30.254	0.0210513	-1.00085	19.0623
152	Surface 30	26171	9.665	12.2246	-8.84	-938.808	-273.925	0.0705327	-16.9288	-30.2329	0.0246283	-2.30227	19.1163
153	Surface 30	26177	9.665	18.3371	-8.84	-939.384	-273.817	6.00312	-16.8309	-30.2034	0.0919891	-4.81677	19.0403
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-844.522	-239.226	2.2715	-12.7089	-13.804	0.0331828	-0.6401	11.9424
155	Surface 30	26387	9.665	6.11241	-7.78	-844.884	-239.118	0.034638	-12.6618	-13.7923	0.0207924	-0.901	11.9051
156	Surface 30	26392	9.665	12.2246	-7.78	-845.08	-239.128	0.043133	-12.5588	-13.7722	0.0253342	-2.07564	11.9457
157	Surface 30	26396	9.665	18.3371	-7.78	-845.776	-238.999	4.99739	-12.4689	-13.7487	0.0817224	-4.34221	11.8775
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-759.713	-204.807	2.12836	-9.74373	-3.89951	0.0316441	-0.572621	6.73411
159	Surface 30	26608	9.665	6.11241	-6.72	-760.121	-204.709	0.0254789	-9.69938	-3.88964	0.0207158	-0.814081	6.69873
160	Surface 30	26612	9.665	12.2246	-6.72	-760.313	-204.674	0.0301514	-9.60808	-3.87304	0.0254264	-1.87634	6.73493
161	Surface 30	26618	9.665	18.3371	-6.72	-761.064	-204.531	4.69349	-9.52794	-3.85652	0.0785229	-3.92179	6.6699
