	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
200	Line 25211	3129	8.9	-142.018	-65.7	-101.628	-133.769	372.668	0.0	63.0567	-0.487705E-3
201	Line 25211	3111	8.9	-139.878	-65.7	-35.7178	-41.6901	319.764	0.0	25.2888	0.281569E-3
202	Line 25211	3097	9.665	-142.018	-65.7	-101.628	-133.769	372.668	0.0	63.0567	-0.487705E-3
203	Line 25211	3075	9.665	-139.878	-65.7	-35.7178	-41.6901	319.764	0.0	25.2888	0.281569E-3
204	Line 25212	4058	8.9	117.682	-65.7	26.7963	76.0197	123.794	0.0	39.2109	-0.12256E-3
205	Line 25212	4037	8.9	123.231	-65.7	-29.5003	128.696	329.181	0.0	106.839	0.722769E-3
206	Line 25212	4100	9.665	117.682	-65.7	26.7963	76.0197	123.794	0.0	39.2109	-0.12256E-3
207	Line 25212	4067	9.665	123.231	-65.7	-29.5003	128.696	329.181	0.0	106.839	0.722769E-3
208	Line 25212	4014	8.9	128.78	-65.7	-94.8248	134.852	399.589	0.0	123.672	-0.23328E-3
209	Line 25212	4041	9.665	128.78	-65.7	-94.8248	134.852	399.589	0.0	123.672	-0.23328E-3
210	Line 25212	3986	8.9	134.329	-65.7	-143.945	146.215	486.046	0.0	135.459	0.957445E-3
211	Line 25212	3941	8.9	139.878	-65.7	-71.8065	115.607	257.28	0.0	9.51294	-0.149264E-3
