	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-226.776	-27.2316	2.43708	7.22158	2.30695	0.0620775	-0.102977	-2.41617
144	Surface 27	28272	9.665	-7.74887	0.0	-132.679	-4.28404	-2.36682	7.91579	1.18137	-0.322738	1.83039	-2.05186
145	Surface 27	28280	9.665	0.0	0.0	-132.691	-4.28077	1.85953	8.22998	1.1746	0.0522452	-0.198367	-2.02557
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.05246E3	-314.884	3.49656	-14.9955	-47.6159	0.0864691	-0.75469	25.2324
147	Surface 30	25882	9.665	6.11244	-9.9	-1.05268E3	-314.661	-1.17202	-15.0477	-47.6249	0.288319	-1.42445	25.1684
148	Surface 30	25889	9.665	12.2246	-9.9	-1.05314E3	-314.394	-2.34975	-15.3854	-47.7071	0.501011	-3.19878	25.2241
149	Surface 30	25897	9.665	18.3371	-9.9	-1.05382E3	-313.651	4.1232	-15.8779	-47.8096	0.758874	-6.26485	25.091
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-935.194	-279.054	2.81224	-9.52827	-28.6152	0.0788542	-0.661248	19.313
151	Surface 30	26168	9.665	6.11242	-8.84	-935.515	-278.852	-1.07178	-9.58934	-28.6266	0.284218	-1.30658	19.2572
152	Surface 30	26171	9.665	12.2246	-8.84	-935.947	-278.605	-2.15339	-9.95846	-28.7081	0.494795	-2.92658	19.2957
153	Surface 30	26177	9.665	18.3371	-8.84	-936.764	-277.949	2.89473	-10.4822	-28.8142	0.734538	-5.68584	19.1755
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-841.297	-243.157	2.36601	-4.86651	-12.1659	0.0734181	-0.586613	12.1496
155	Surface 30	26387	9.665	6.11241	-7.78	-841.716	-242.984	-0.974429	-4.93669	-12.1799	0.282551	-1.22	12.1002
156	Surface 30	26392	9.665	12.2246	-7.78	-842.129	-242.753	-1.96169	-5.33653	-12.2632	0.492427	-2.72285	12.1257
157	Surface 30	26396	9.665	18.3371	-7.78	-843.081	-242.197	2.19632	-5.89204	-12.3746	0.720281	-5.24167	12.0158
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-756.299	-207.708	2.22013	-1.62422	-2.27736	0.0715559	-0.521013	6.93479
159	Surface 30	26608	9.665	6.11241	-6.72	-756.767	-207.564	-0.865572	-1.70407	-2.29389	0.282151	-1.14558	6.8885
160	Surface 30	26612	9.665	12.2246	-6.72	-757.187	-207.353	-1.74554	-2.13495	-2.38109	0.492262	-2.54556	6.91035
161	Surface 30	26618	9.665	18.3371	-6.72	-758.213	-206.891	2.21512	-2.72368	-2.49826	0.717406	-4.85055	6.80711
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-671.957	-172.616	2.24224	0.776799	3.43239	0.0715993	-0.456817	4.26873
163	Surface 30	26827	9.665	6.11242	-5.66	-672.438	-172.495	-0.735586	0.68731	3.41418	0.282593	-1.07069	4.22433
164	Surface 30	26832	9.665	12.2246	-5.66	-672.868	-172.3	-1.48935	0.22625	3.32403	0.493946	-2.36779	4.2497
165	Surface 30	26838	9.665	18.3371	-5.66	-673.923	-171.916	2.66249	-0.395363	3.2044	0.722403	-4.46023	4.15404
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-584.086	-138.555	2.35496	2.76961	6.85891	0.0726007	-0.390468	2.72855
167	Surface 30	27118	9.665	6.11244	-4.6	-584.553	-138.445	-0.586406	2.67108	6.8408	0.285221	-0.987232	2.68612
168	Surface 30	27124	9.665	12.2246	-4.6	-584.995	-138.254	-1.1974	2.18186	6.7511	0.500229	-2.17287	2.71976
169	Surface 30	27135	9.665	18.3371	-4.6	-586.043	-137.918	3.3626	1.52949	6.636	0.737244	-4.04082	2.63457
170	Surface 31	25897	9.665	18.3371	-9.9	-1.05382E3	-313.651	4.1232	-15.8779	-47.8096	0.758874	-6.26485	25.091
171	Surface 31	25909	9.665	20.819	-9.9	-1.05445E3	-313.189	-3.67432	-16.3072	-47.8968	0.754717	-4.78341	25.066
172	Surface 31	26177	9.665	18.3371	-8.84	-936.764	-277.949	2.89473	-10.4822	-28.8142	0.734538	-5.68584	19.1755
173	Surface 31	26182	9.665	20.819	-8.84	-937.537	-277.564	-3.39579	-10.9339	-28.9058	0.745919	-4.39664	19.1526
